# week 1
# day 1
regular	規則正しい
exercise	運動
challenge	挑む
effort	努力
positive	前向きな
physical	身体の
frequently	しばしば
result	結果
muscle	筋肉
gradually	徐々に
athlete	運動選手
treasure	財宝
# day 2
entertain	楽しませる
ceremony	式
consist	成り立つ
organize	計画する
combine	結びつける
oppose	反対する
reduce	減らす
connect	つなぐ
process	加工する
attach	添付する
settle	移住する(本来、定住の意
spoil	台無しにする
# day 3
entirely	完全に
nervous	心配な
capacity	収容能力
chance	可能性
behavior	振る舞い
virtue	美徳
aim	努力する
duty	義務
aspect	側面
laughter	笑い
bear	耐える
sorrow	悲しみ
# day 4
dislike	嫌う
childhood	子供の頃
particular	特定の
reason	理由
similar	よく似た
provide	供給する
vitamin	ビタミン
prevent	防ぐ
disease	病気
actually	実は
agree	意見が一致する
taste	〜の味がする
# day 5
boring	退屈な
stupid	愚かな(st~
length	長さ
break	休憩
tidy	整頓された
furniture	家具
relax	くつろがせる
nap	仮眠
annual	年に一度の
lively	元気のいい
destination	目的地
miserable	惨めな
